,ClassIds,Confidences,TLpoint,BRpoint
0,56,0.5182991623878479,"[263, 388]","[547, 786]"
1,0,0.5181844234466553,"[413, 200]","[834, 480]"
2,0,0.5165675282478333,"[165, 250]","[346, 402]"
3,0,0.515265166759491,"[214, 292]","[288, 349]"
4,0,0.5137794017791748,"[466, 228]","[572, 390]"
5,0,0.5118464827537537,"[567, 244]","[687, 414]"
6,39,0.5091187953948975,"[590, 341]","[632, 439]"
7,56,0.5082385540008545,"[196, 198]","[967, 974]"
8,56,0.5079324841499329,"[334, 323]","[393, 407]"
9,0,0.5066521167755127,"[357, 317]","[473, 511]"
10,0,0.5052204132080078,"[186, 276]","[246, 330]"
11,0,0.5021594166755676,"[283, 257]","[340, 348]"
12,0,0.48720255494117737,"[394, 264]","[493, 344]"
13,56,0.48515811562538147,"[232, 352]","[306, 395]"
14,56,0.4837909936904907,"[452, 479]","[690, 696]"
15,0,0.47877493500709534,"[306, 237]","[403, 319]"
16,56,0.4766596853733063,"[334, 303]","[394, 338]"
17,56,0.47234463691711426,"[105, 261]","[129, 312]"
18,73,0.4715126156806946,"[331, 371]","[373, 396]"
19,0,0.4712289571762085,"[425, 288]","[464, 319]"
20,56,0.4691956341266632,"[77, 245]","[163, 327]"
21,56,0.4673575758934021,"[448, 343]","[508, 387]"
22,0,0.46428701281547546,"[334, 262]","[371, 294]"
23,56,0.45858708024024963,"[367, 276]","[417, 349]"
24,0,0.4559691250324249,"[591, 342]","[761, 593]"
