,ClassIds,Confidences,TLpoint,BRpoint
0,0,0.5250328183174133,"[58, 273]","[227, 424]"
1,0,0.5223472118377686,"[-160, 236]","[439, 479]"
2,0,0.5219988226890564,"[582, 297]","[1196, 590]"
3,0,0.5216535925865173,"[358, 370]","[530, 552]"
4,0,0.520867645740509,"[802, 348]","[982, 544]"
5,56,0.5206484794616699,"[201, 315]","[339, 434]"
6,56,0.5200427770614624,"[326, 313]","[454, 439]"
7,56,0.5173550248146057,"[272, 374]","[371, 409]"
8,56,0.5136946439743042,"[457, 355]","[562, 400]"
9,73,0.513344943523407,"[567, 510]","[676, 556]"
10,56,0.5133219361305237,"[884, 333]","[1034, 422]"
11,0,0.5123957991600037,"[215, 227]","[470, 354]"
12,39,0.5110640525817871,"[506, 378]","[562, 462]"
13,73,0.5105991363525391,"[488, 470]","[751, 593]"
14,73,0.5097114443778992,"[177, 386]","[288, 424]"
15,0,0.5095504522323608,"[199, 219]","[270, 323]"
16,56,0.5083543062210083,"[709, 277]","[785, 322]"
17,56,0.5057719349861145,"[756, 289]","[834, 338]"
18,56,0.5052304863929749,"[-33, 278]","[72, 418]"
19,56,0.5037493109703064,"[235, 265]","[309, 309]"
20,39,0.5023266673088074,"[718, 353]","[775, 445]"
21,56,0.5021174550056458,"[703, 203]","[882, 434]"
22,56,0.5020357966423035,"[389, 316]","[647, 438]"
23,39,0.49962538480758667,"[621, 299]","[723, 431]"
24,39,0.49958184361457825,"[447, 276]","[498, 351]"
25,39,0.49841785430908203,"[555, 305]","[590, 333]"
26,67,0.4936861991882324,"[88, 377]","[155, 404]"
27,56,0.4925629496574402,"[155, 317]","[238, 352]"
28,39,0.4918886721134186,"[656, 340]","[690, 395]"
29,56,0.4904158413410187,"[155, 280]","[234, 322]"
30,67,0.4893776774406433,"[111, 380]","[132, 392]"
31,0,0.488215833902359,"[285, 262]","[386, 311]"
32,56,0.4859830439090729,"[424, 297]","[472, 318]"
33,39,0.4859684705734253,"[584, 301]","[611, 337]"
34,0,0.48540693521499634,"[460, 230]","[582, 355]"
35,0,0.484308123588562,"[527, 255]","[667, 332]"
36,56,0.4783400893211365,"[780, 293]","[914, 378]"
37,39,0.47291168570518494,"[339, 285]","[368, 330]"
38,0,0.4728868007659912,"[767, 256]","[851, 304]"
39,73,0.47190624475479126,"[1, 387]","[124, 507]"
40,73,0.4675598740577698,"[551, 415]","[681, 530]"
41,67,0.46493029594421387,"[20, 512]","[94, 551]"
42,0,0.4640829861164093,"[-77, 133]","[958, 762]"
43,56,0.46202772855758667,"[221, 486]","[363, 603]"
44,0,0.4613393545150757,"[823, 255]","[892, 332]"
45,0,0.46012598276138306,"[87, 238]","[154, 317]"
46,73,0.4559883177280426,"[266, 320]","[347, 350]"
47,0,0.45514044165611267,"[859, 280]","[935, 321]"
48,73,0.45330870151519775,"[17, 423]","[66, 468]"
49,0,0.45312735438346863,"[443, 248]","[523, 293]"
50,0,0.45008060336112976,"[493, 269]","[540, 318]"
